generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1765430152-S6MMjHuwqyBdnaMRiz4H,2025-12-11 05:15:52.099,0,,,0,0.001416,301,223,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,1891,1217,,GenEval
gen-1765430151-iMCv73Eq3pngZOq4jhdn,2025-12-11 05:15:51.138,0,,,,0.000401,129,24,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,232,397,,GenEval
gen-1765430149-hcdjRsgfdAZnGxS3DYfI,2025-12-11 05:15:49.058,0,,,0,0.001132,297,167,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,1380,628,,GenEval
gen-1765430148-4xCcfVqC3jQXRe4E0mt3,2025-12-11 05:15:48.350,0,,,,0.000543,211,28,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,104,327,,GenEval
gen-1765430144-mHfVj84MA7UM5MAlxsMj,2025-12-11 05:15:44.749,0,,,0,0.001697,302,279,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2541,922,,GenEval
gen-1765430143-OhJHTemDNtPiz3o2lx3m,2025-12-11 05:15:43.437,0,,,,0.000401,129,24,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,174,743,,GenEval
gen-1765430140-yTgE2cBQm5OZxPX9gVsK,2025-12-11 05:15:40.043,0,,,0,0.001689,354,267,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2372,678,,GenEval
gen-1765430136-7NmsjZ9busx04EnHPeQk,2025-12-11 05:15:36.868,0,,,0,0.001593,333,252,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2218,629,,GenEval
gen-1765430133-mX57QxhMlRsZUkFkmxQU,2025-12-11 05:15:33.894,0,,,0,0.001363,338,205,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2010,658,,GenEval
gen-1765430132-acVkNpyLIAvMrC7kMHzk,2025-12-11 05:15:32.988,0,,,,0.000552,130,39,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,262,324,,GenEval
gen-1765430129-Rs0mIawvkR1fUY9S6XTA,2025-12-11 05:15:29.493,0,,,0,0.001439,314,225,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2167,1194,,GenEval
gen-1765430128-nBSDZUumRCvnWCMjhVeY,2025-12-11 05:15:28.380,0,,,,0.000492,210,23,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,102,720,,GenEval
gen-1765430124-Nsc6mHQKho7UQpX8kn40,2025-12-11 05:15:24.684,0,,,0,0.001477,317,232,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2457,1092,,GenEval
gen-1765430123-nNy4oKz3Gko1VZt8Zf1p,2025-12-11 05:15:23.653,0,,,,0.000552,130,39,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,300,321,,GenEval
gen-1765430122-s3RUtSmXpr6NttzxWB77,2025-12-11 05:15:22.849,0,,,,0.000477,126,32,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,170,342,,GenEval
gen-1765430121-kwTCh3mbIqQpH4JvzB4N,2025-12-11 05:15:21.825,0,,,,0.000525,124,37,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,177,384,,GenEval
gen-1765430120-ctJVE8nNTkRECkHb7bFs,2025-12-11 05:15:20.798,0,,,,0.000553,131,39,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,275,327,,GenEval
gen-1765430117-x0pcTeCnpGkkjCPoQK7G,2025-12-11 05:15:17.838,0,,,0,0.001195,669,398,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,2210,549,,GenEval
gen-1765430109-EC5K52doHWLpEduH1ISw,2025-12-11 05:15:09.332,0,,-0.000177,0,0.004995,669,1989,0,658,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,MAX_TOKENS,length,8423,457,,GenEval
gen-1765430107-iC0kWfmNbfpCtdsqyh3P,2025-12-11 05:15:07.080,0,,,0,0.000993,669,317,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1938,471,,GenEval
gen-1765430097-kvuDAKxDjcbFBT9duUgZ,2025-12-11 05:14:57.995,0,,,0,0.005103,436,1989,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,MAX_TOKENS,length,9013,967,,GenEval
gen-1765430097-cLdACJt50GB0zjpal6Ji,2025-12-11 05:14:57.208,0,,,,0.000486,157,29,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,235,326,,GenEval
gen-1765430095-Y9vrdZ3NOTOnHp3C0Clz,2025-12-11 05:14:55.744,0,,,0,0.000533,436,161,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1317,569,,GenEval
gen-1765430094-OC0G02ZNNnOHFWf3w2Rm,2025-12-11 05:14:54.547,0,,,,0.000693,155,50,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,368,570,,GenEval
gen-1765430093-nKM7lO7Wc2wQRdiRy3WX,2025-12-11 05:14:53.034,0,,,0,0.000595,436,186,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1386,566,,GenEval
gen-1765430088-ck3hfmSdEMPmObpth66l,2025-12-11 05:14:48.948,0,,,0,0.002314,414,380,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2552,1457,,GenEval
gen-1765430084-0kG5lk68uONEjx1RJDhq,2025-12-11 05:14:44.661,0,,,0,0.001968,403,313,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,3321,712,,GenEval
