generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1766181737-908ZNUDwXdqPcjfp43RG,2025-12-19 22:02:17.583,0,,,,0.002047,654,123,0,0,openai/gpt-5.1-chat-20251113,OpenAI,standard,false,true,,completed,stop,1263,432,,GenEval
gen-1766181736-M0O64IGwVzbb23l4SOZq,2025-12-19 22:02:16.758,0,,,,0.000585,492,113,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1176,622,,GenEval
gen-1766181735-DwcAFtml1SYp9p28ZGZD,2025-12-19 22:02:15.535,0,,,,0.000588,492,114,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1163,621,,GenEval
gen-1766181733-4xkxm6HerbdxHPlenCaY,2025-12-19 22:02:13.545,0,,-0.002607,,0.00156,7142,199,0,5795,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1895,817,,GenEval
gen-1766181733-n0sNbSOPmRG6f2jdJmR8,2025-12-19 22:02:13.182,0,,,0,0.002508,733,355,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,3559,614,,GenEval
gen-1766181732-uUH2Lm2t33e2Dn5S1DlZ,2025-12-19 22:02:12.493,0,,,,0.000335,232,73,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,970,656,,GenEval
gen-1766181730-bkKtP9JNEuXXoD4qB1v8,2025-12-19 22:02:10.366,0,,,,0.002365,3303,238,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2050,836,,GenEval
gen-1766181728-8O75d2fhcIEKcmm1ICXW,2025-12-19 22:02:08.892,0,,,,0.0006,529,112,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1407,797,,GenEval
gen-1766181727-P5jWVrXztbWWWNbeqskY,2025-12-19 22:02:07.368,0,,,,0.001027,1323,122,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1440,840,,GenEval
gen-1766181725-iuf5BYzErn1ikixOPcwt,2025-12-19 22:02:05.730,0,,,0,0.002182,487,151,0,0,openai/gpt-4.1-2025-04-14,OpenAI,standard,false,true,,completed,stop,6400,863,,GenEval
gen-1766181724-YIwmoqJ5mJwAu5OM1LnY,2025-12-19 22:02:04.789,0,,,,0.001158,1267,175,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1753,710,,GenEval
gen-1766181722-FPStFWCdE8xh0GfIgOSc,2025-12-19 22:02:02.787,0,,,,0.004066,7142,165,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1858,964,,GenEval
gen-1766181721-1Kaw1cHREMoUfV6RohHG,2025-12-19 22:02:01.693,0,,,,0.000377,232,87,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,993,560,,GenEval
gen-1766181719-EdbCIhL6vawbokBOHoau,2025-12-19 22:01:59.755,0,,,,0.002722,4233,202,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1871,818,,GenEval
gen-1766181717-9P5Qxcjk5on1rfbm9E9v,2025-12-19 22:01:57.593,0,,,0,0.007752,3997,751,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,tool_calls,tool_calls,6762,812,,GenEval
gen-1766181717-NOh5BeBnoRRwejSLYAuA,2025-12-19 22:01:57.243,0,,,,0.001171,1305,173,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1561,669,,GenEval
gen-1766181715-hWs0u5d9SL7u9GdLJ6ng,2025-12-19 22:01:55.269,0,,,,0.001191,1266,186,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1764,916,,GenEval
gen-1766181714-0DhydRqZC8khxcksf6dH,2025-12-19 22:01:54.052,0,,,,0.006078,2959,238,0,0,openai/gpt-5.1-chat-20251113,OpenAI,standard,false,true,,completed,tool_calls,2527,809,,GenEval
gen-1766181713-eT2JLHp2Thrgthy2etcv,2025-12-19 22:01:53.106,0,,,,0.000595,495,116,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1448,768,,GenEval
gen-1766181711-pwb8QgxUEnHdGySMC5iW,2025-12-19 22:01:51.722,0,,,,0.000962,1276,108,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1246,677,,GenEval
gen-1766181708-CZvfo7LnAPZedsEv0UlO,2025-12-19 22:01:48.679,0,,-0.001696,,0.001408,4987,204,0,3771,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2085,779,,GenEval
gen-1766181707-kUKhy5MFwA2K8IpSDNpt,2025-12-19 22:01:47.516,0,,,,0.000353,232,79,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1078,692,,GenEval
gen-1766181707-kVUya3zk3AwdlXOhEJ0Y,2025-12-19 22:01:47.177,0.00218,,,0,0,3192,441,0,843,z-ai/glm-4.6,Novita,exacto,false,true,,tool_calls,tool_calls,4743,1569,,GenEval
